实验室化验分析员,吉林省精科环保科技有限公司,4-8,长春,创业公司,少于50人,环保,[''],"""本科"""
环境影响评价及环境咨询工程师,吉林省精科环保科技有限公司,5-12,长春,创业公司,少于50人,环保,[''],"""本科"""
销售经理（长春）,广州信邦智能装备股份有限公司,7-10,长春,民营公司,150-500人,机械\设备\重工,"['五险一金', '带薪年假', '周末双休', '员工旅游']","""大专"""
叉车工,凌云工业股份有限公司长春分公司,6-8,长春-高新技术产业开发区,国企,150-500人,汽车,"['五险一金', '补充公积金', '免费班车', '专业培训', '餐饮补贴', '定期体检', '绩效奖金', '年终奖金']","""中技"""
理货员,凌云工业股份有限公司长春分公司,5-7,长春-高新技术产业开发区,国企,150-500人,汽车,"['五险一金', '免费班车', '绩效奖金', '全勤奖', '餐饮补贴', '高温补贴']","""无需经验"""
初中、高中电脑教师,蚌埠禹王学校,10-13,异地招聘,民营公司,500-1000人,教育\培训\院校,"['免费食宿', '寒暑假', '教龄津贴', '节假日福利', '五险一金', '员工旅游']","""本科"""
电气设计工程师,长春建业集团股份有限公司,5-7,长春,民营公司,150-500人,建筑\建材\工程,"['五险一金', '员工旅游', '绩效奖金', '年终奖金']","""本科"""
客服专员,吉林省嘉晟供应链管理有限公司,4-5,长春,合资,少于50人,交通\运输\物流,[''],"""大专"""
电话销售,长春市天泽同创企业管理咨询有限公司,10-12,长春-绿园区,合资,,专业服务(咨询、人力资源、财会),[''],"""无需经验"""
人事专员,吉林省诚信机动车驾驶员培训学校有限公司,4-5,长春-朝阳区,民营公司,,教育\培训\院校,[''],"""无需经验"""
新媒体运营,吉林省凯越文化传媒有限公司,5-7,长春-南关区,合资,少于50人,影视\媒体\艺术\文化传播,[''],"""无需经验"""
后期剪辑,吉林省凯越文化传媒有限公司,4-5,长春-南关区,合资,少于50人,影视\媒体\艺术\文化传播,[''],"""无需经验"""
编导,吉林省凯越文化传媒有限公司,5-7,长春-南关区,合资,少于50人,影视\媒体\艺术\文化传播,[''],"""无需经验"""
电商主播,吉林省凯越文化传媒有限公司,7-10,长春-南关区,合资,少于50人,影视\媒体\艺术\文化传播,[''],"""无需经验"""
编导,吉林省风之道抗痛风医学研究有限公司,5-7,长春-南关区,民营公司,少于50人,影视\媒体\艺术\文化传播,[''],"""无需经验"""
主播,吉林省风之道抗痛风医学研究有限公司,10-12,长春-南关区,民营公司,少于50人,影视\媒体\艺术\文化传播,[''],"""无需经验"""
前台接待五险一金双休待遇好,长江路经济开发区恒盈电子产品经销处,4-5,长春-宽城区,合资,少于50人,互联网\电子商务,"['周末双休', '包吃', '加班补贴', '节日福利', '五险一金']","""中专"""
前台接待五险一金双休待遇好,长江路经济开发区恒盈电子产品经销处,4-5,长春-宽城区,合资,少于50人,互联网\电子商务,"['周末双休', '包吃', '加班补贴', '节日福利', '五险一金']","""中专"""
礼品店导购,长春市百利丰晟经贸有限公司,4-7,长春-南关区,民营公司,50-150人,贸易\进出口,"['弹性工作', '专业培训', '带薪旅游']","""中专"""
修正健康集团-文案策划,修正健康集团,4-8,长春-高新技术产业开发区,民营公司,10000人以上,快速消费品(食品、饮料、化妆品),"['五险一金', '节日福利']","""本科"""
招生专员,吉林省诚信机动车驾驶员培训学校有限公司,7-10,长春-朝阳区,民营公司,,教育\培训\院校,[''],"""无需经验"""
新媒体运营,吉林省三玺商贸有限公司,5-7,长春-南关区,民营公司,少于50人,娱乐\休闲\体育,[''],"""无需经验"""
行政人事经理,长江路经济开发区恒盈电子产品经销处,5-7,长春-宽城区,合资,少于50人,互联网\电子商务,"['周末双休', '包吃', '加班补贴', '节日福利', '五险一金']","""大专"""
预算员,吉林省拓朴之星工程技术有限责任公司,4-12,长春-绿园区,合资,50-150人,建筑\建材\工程,"['交通补贴', '专业培训', '年终奖金', '绩效奖金', '五险一金']","""大专"""
销售经理,吉林省鹿小宝酒业有限公司,7-10,长春-双阳区,民营公司,50-150人,快速消费品(食品、饮料、化妆品),[''],"""1年经验"""
车间主任,吉林省鹿小宝酒业有限公司,4-5,长春-双阳区,民营公司,50-150人,快速消费品(食品、饮料、化妆品),[''],"""1年经验"""
销售经理,吉林省鹿小宝酒业有限公司,7-10,长春-双阳区,民营公司,50-150人,快速消费品(食品、饮料、化妆品),[''],"""1年经验"""
行政助理,吉林省智付通科技有限公司,4-5,长春-二道区,民营公司,少于50人,计算机软件,"['带薪年假', '绩效奖金', '全勤奖', '专业培训']","""无需经验"""
管家,吉林优尼达物业服务有限公司,4-5,长春-高新技术产业开发区,民营公司,150-500人,物业管理\商业中心,[''],"""大专"""
平面设计,长春市丽祥文化用品印务有限公司,5-10,长春-宽城区,民营公司,50-150人,印刷\包装\造纸,"['免费班车', '专业培训', '绩效奖金', '五险一金', '餐饮补贴']","""本科"""
Account Executive,英纳法企业管理（上海）有限公司,18-24,长春,外资（欧美）,500-1000人,汽车,"['五险一金', '补充医疗保险', '免费班车', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '年终奖金', '弹性工作', '定期体检']","""本科"""
EHS & Facility Engineer,英纳法企业管理（上海）有限公司,7-10,长春,外资（欧美）,500-1000人,汽车,"['五险一金', '补充医疗保险', '免费班车', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '年终奖金', '弹性工作', '定期体检']","""本科"""
Senior Accountant,英纳法企业管理（上海）有限公司,10-12,长春,外资（欧美）,500-1000人,汽车,"['五险一金', '补充医疗保险', '免费班车', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '年终奖金', '弹性工作', '定期体检']","""本科"""
ME Supervisor,英纳法企业管理（上海）有限公司,12-18,长春,外资（欧美）,500-1000人,汽车,"['补充医疗保险', '免费班车', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '年终奖金', '弹性工作', '定期体检']","""本科"""
Quality Supervisor,英纳法企业管理（上海）有限公司,12-18,长春,外资（欧美）,500-1000人,汽车,"['补充医疗保险', '免费班车', '交通补贴', '餐饮补贴', '通讯补贴', '年终奖金', '弹性工作', '定期体检']","""本科"""
MRO Buyer,英纳法企业管理（上海）有限公司,7-10,长春,外资（欧美）,500-1000人,汽车,"['补充医疗保险', '免费班车', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '年终奖金', '弹性工作', '定期体检']","""本科"""
Account Executive,英纳法企业管理（上海）有限公司,18-24,长春,外资（欧美）,500-1000人,汽车,"['五险一金', '补充医疗保险', '免费班车', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '年终奖金', '弹性工作', '定期体检']","""本科"""
Manufacturing Engineer,英纳法企业管理（上海）有限公司,10-12,长春,外资（欧美）,500-1000人,汽车,"['补充医疗保险', '免费班车', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '年终奖金', '弹性工作', '定期体检']","""本科"""
Finance Supervisor,英纳法企业管理（上海）有限公司,14-22,长春,外资（欧美）,500-1000人,汽车,"['补充医疗保险', '免费班车', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '年终奖金', '弹性工作', '定期体检']","""本科"""
保安员（包吃住）,吉林优尼达物业服务有限公司,4-6,长春-高新技术产业开发区,民营公司,150-500人,物业管理\商业中心,[''],"""初中及以下"""
实验室技术员,上海润吾信息技术服务有限责任公司,4-6,长春-净月经济开发区,民营公司,50-150人,教育\培训\院校,"['五险一金', '员工旅游', '专业培训', '弹性工作', '年终奖金', '绩效奖金', '下午茶']","""大专"""
课程\招生咨询主任AdmissionsManager,上海润吾信息技术服务有限责任公司,7-14,长春-净月经济开发区,民营公司,50-150人,教育\培训\院校,[''],"""本科"""
教育\招生\课程市场渠道专员,上海润吾信息技术服务有限责任公司,7-10,长春-绿园区,民营公司,50-150人,教育\培训\院校,[''],"""本科"""
幼儿园班主任,上海润吾信息技术服务有限责任公司,4-6,长春-净月经济开发区,民营公司,50-150人,教育\培训\院校,[''],"""大专"""
幼儿园配班教师,上海润吾信息技术服务有限责任公司,2-5,长春-净月经济开发区,民营公司,50-150人,教育\培训\院校,[''],"""大专"""
幼儿园教学主任,上海润吾信息技术服务有限责任公司,6-8,长春-净月经济开发区,民营公司,50-150人,教育\培训\院校,[''],"""大专"""
幼儿园保健医生,上海润吾信息技术服务有限责任公司,4-6,长春-净月经济开发区,民营公司,50-150人,教育\培训\院校,[''],"""大专"""
幼儿园园长,上海润吾信息技术服务有限责任公司,7-12,长春-净月经济开发区,民营公司,50-150人,教育\培训\院校,[''],"""本科"""
大项目专员,太平养老保险股份有限公司,2-14,长春-净月经济开发区,国企,1000-5000人,保险,"['正式劳动合同', '六险两金', '绩效奖金', '专业培训', '定期体检', '带薪年假', '节日福利', '综合补贴', '有底薪', '周末双休']","""本科"""
对公专员,太平养老保险股份有限公司,2-14,长春-净月经济开发区,国企,1000-5000人,保险,"['正式劳动合同', '六险两金', '绩效奖金', '专业培训', '定期体检', '带薪年假', '节日福利', '综合补贴', '周末双休']","""本科"""
银渠专员,太平养老保险股份有限公司,2-14,长春-净月经济开发区,国企,1000-5000人,保险,"['正式劳动合同', '六险两金', '绩效奖金', '专业培训', '定期体检', '带薪年假', '节日福利', '综合补贴', '有底薪', '周末双休']","""本科"""
吉林分公司销售客户经理,太平养老保险股份有限公司,2-12,长春-净月经济开发区,国企,1000-5000人,保险,"['正式劳动合同', '六险两金', '绩效奖金', '专业培训', '定期体检', '带薪年假', '节日福利', '综合补贴', '其他福利', '周末双休']","""大专"""
资深设备工程师（注塑维修）,长春一汽富晟四维尔汽车零部件有限公司,10-12,长春-高新技术产业开发区,合资,500-1000人,汽车,"['五险一金', '节日福利', '带薪年假', '全勤奖', '包吃工作餐', '定期体检', '专业培训', '绩效奖金']","""本科"""
会计 财务,长春红星医院有限公司,5-6,长春-朝阳区,民营公司,50-150人,医疗\护理\卫生,['五险一金'],"""中专"""
会计主管 财务主管,长春红星医院有限公司,5-7,长春-朝阳区,民营公司,50-150人,医疗\护理\卫生,[''],"""中专"""
模拟芯片设计工程师,浙江集速合芯科技有限公司,12-18,异地招聘,民营公司,,电子技术\半导体\集成电路,[''],"""本科"""
射频芯片设计工程师,浙江集速合芯科技有限公司,12-18,异地招聘,民营公司,,电子技术\半导体\集成电路,[''],"""硕士"""
实验员,华众控股有限公司,4-5,长春,上市公司,1000-5000人,汽车,"['五险一金', '员工旅游', '年终奖金', '定期体检']","""大专"""
模具维修工,华众控股有限公司,5-7,长春,上市公司,1000-5000人,汽车,"['五险一金', '员工旅游', '通讯补贴', '专业培训', '绩效奖金', '定期体检', '补充医疗保险', '出国机会', '包住宿', '包吃']","""3-4年经验"""
资深法律\金融英语笔译（Part Time）,昆明优笔客翻译有限公司,12-18,异地招聘,合资,50-150人,专业服务(咨询、人力资源、财会),['弹性工作'],"""本科"""
开发工程师,吉林省森祥科技有限公司,6-10,长春-高新技术产业开发区,民营公司,150-500人,计算机软件,"['五险一金', '年终奖金', '周末双休']","""本科"""
合规专员,吉林省森祥科技有限公司,7-12,长春-高新技术产业开发区,民营公司,150-500人,计算机软件,"['五险一金', '年终奖金', '周末双休']","""本科"""
系统验证工程师,长春长光辰芯光电技术有限公司,10-15,长春-经济技术开发区,民营公司,150-500人,电子技术\半导体\集成电路,"['五险一金', '定期体检', '员工旅游', '周末双休']","""硕士"""
